                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                0.78281,                0.60836,                0.90072,                0.97916,                      1,                  0.995,                0.66467,                  1.166,                0.95116,                 1.0066,              0.0016832,              0.0016832,              0.0016832
                     82,                0.70107,                0.60136,                0.82327,                0.97916,                      1,                  0.995,                0.66467,                  1.166,                0.95116,                 1.0066,              0.0016792,              0.0016792,              0.0016792
                     83,                0.70649,                0.71437,                0.87935,                0.97424,                      1,                  0.995,                0.69642,                 1.0668,                0.97711,                0.97847,              0.0016753,              0.0016753,              0.0016753
                     84,                0.68723,                0.61669,                0.85561,                  0.974,                      1,                  0.995,                 0.7681,                 1.0376,                0.88266,                0.97439,              0.0016713,              0.0016713,              0.0016713
                     85,                0.66068,                0.64758,                0.83501,                  0.974,                      1,                  0.995,                 0.7681,                 1.0376,                0.88266,                0.97439,              0.0016674,              0.0016674,              0.0016674
                     86,                0.61957,                0.60834,                0.84688,                0.98176,                      1,                  0.995,                0.76187,                 1.0528,                0.87103,                0.97192,              0.0016634,              0.0016634,              0.0016634
                     87,                0.65423,                 0.6526,                0.87898,                 0.9899,                      1,                  0.995,                0.72729,                 1.0573,                0.71592,                 0.9605,              0.0016594,              0.0016594,              0.0016594
                     88,                0.68927,                0.62309,                0.88888,                 0.9899,                      1,                  0.995,                0.72729,                 1.0573,                0.71592,                 0.9605,              0.0016555,              0.0016555,              0.0016555
                     89,                0.61434,                0.70193,                0.85503,                0.98906,                      1,                  0.995,                0.73179,                 1.0162,                0.62351,                0.95228,              0.0016515,              0.0016515,              0.0016515
                     90,                0.74548,                0.70334,                0.81956,                0.99047,                      1,                  0.995,                0.75865,                  1.072,                0.72296,                0.96448,              0.0016476,              0.0016476,              0.0016476
                     91,                 0.6487,                 0.5567,                0.83936,                0.99047,                      1,                  0.995,                0.75865,                  1.072,                0.72296,                0.96448,              0.0016436,              0.0016436,              0.0016436
                     92,                0.62384,                 0.5596,                0.84778,                0.98155,                      1,                  0.995,                0.71814,                 1.1559,                0.77315,                0.96766,              0.0016396,              0.0016396,              0.0016396
