                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                 1.2191,                 1.3656,                 1.1466,                 0.0068,                      1,                0.03109,                0.01244,                 3.2467,                  3.045,                 1.8505,             0.00093292,             0.00093292,             0.00093292
                     54,                 1.4096,                 1.5677,                 1.3002,                 0.0068,                      1,                0.03109,                0.01244,                 3.2467,                  3.045,                 1.8505,             0.00094876,             0.00094876,             0.00094876
                     55,                 1.0959,                 1.4238,                  1.124,                0.00676,                      1,                0.03109,                0.01244,                 3.1517,                 3.0117,                 1.7853,             0.00096453,             0.00096453,             0.00096453
                     56,                  1.269,                 1.3389,                 1.1997,                0.00676,                      1,                0.03109,                0.01244,                 3.1517,                 3.0117,                 1.7853,             0.00098021,             0.00098021,             0.00098021
                     57,                 1.0358,                 1.1844,                  1.106,                0.00685,                      1,                  0.995,                0.33167,                 2.1252,                 2.4844,                 1.2455,             0.00099581,             0.00099581,             0.00099581
                     58,                 1.3145,                 1.3903,                 1.2339,                0.00685,                      1,                  0.995,                0.33167,                 2.1252,                 2.4844,                 1.2455,              0.0010113,              0.0010113,              0.0010113
                     59,                 1.1668,                 1.1481,                 1.0927,                0.05513,                      1,                  0.995,                 0.8955,                0.76986,                 2.2204,                0.81497,              0.0010268,              0.0010268,              0.0010268
                     60,                 1.3885,                 1.3712,                 1.3055,                0.05513,                      1,                  0.995,                 0.8955,                0.76986,                 2.2204,                0.81497,              0.0010422,              0.0010422,              0.0010422
                     61,                 1.1804,                 1.3012,                 1.1084,                0.00806,                      1,                  0.995,                  0.796,                 1.0712,                 2.4371,                0.89753,              0.0010574,              0.0010574,              0.0010574
                     62,                 1.1163,                 1.2656,                 1.1107,                0.00806,                      1,                  0.995,                  0.796,                 1.0712,                 2.4371,                0.89753,              0.0010726,              0.0010726,              0.0010726
                     63,                 1.2798,                 1.3319,                 1.2223,                0.00769,                      1,                0.05528,                0.02764,                 2.2205,                 3.1431,                 1.3228,              0.0010878,              0.0010878,              0.0010878
                     64,                 1.1936,                 1.3437,                 1.1014,                0.00769,                      1,                0.05528,                0.02764,                 2.2205,                 3.1431,                 1.3228,              0.0011028,              0.0011028,              0.0011028
                     65,                 1.2847,                 1.8456,                 1.3095,                0.00806,                      1,                0.04146,                 0.0213,                 2.1518,                 3.4411,                 1.3173,              0.0011178,              0.0011178,              0.0011178
                     66,                 1.0833,                 1.2225,                 1.0758,                0.00806,                      1,                0.04146,                 0.0213,                 2.1518,                 3.4411,                 1.3173,              0.0011327,              0.0011327,              0.0011327
                     67,                 1.1621,                 1.3591,                 1.1371,                0.00787,                      1,                0.03827,                0.02296,                 1.5227,                 3.0133,                 1.1162,              0.0011475,              0.0011475,              0.0011475
                     68,                 1.3551,                 1.3458,                 1.1158,                0.00787,                      1,                0.03827,                0.02296,                 1.5227,                 3.0133,                 1.1162,              0.0011622,              0.0011622,              0.0011622
                     69,                 1.0232,                 1.2324,                 1.0663,                0.00763,                      1,                0.03015,                0.02412,                 1.2132,                 3.2346,                 1.0646,              0.0011769,              0.0011769,              0.0011769
                     70,                 1.0979,                 1.1557,                 1.0246,                0.00763,                      1,                0.03015,                0.02412,                 1.2132,                 3.2346,                 1.0646,              0.0011915,              0.0011915,              0.0011915
                     71,                 1.0568,                 1.1112,                 1.0628,                0.00763,                      1,                0.03015,                0.02412,                 1.2132,                 3.2346,                 1.0646,               0.001206,               0.001206,               0.001206
