                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                 1.1543,                 1.3826,                 1.2189,                0.66905,                    0.6,                0.66817,                0.46772,                 1.5504,                   1.83,                 1.6957,              0.0012592,              0.0012592,              0.0012592
                     62,                0.87337,                 1.1223,                 1.0719,                0.63874,                0.63333,                  0.592,                0.44349,                 1.4427,                 1.7244,                 1.6101,              0.0012564,              0.0012564,              0.0012564
                     63,                0.88325,                 1.0376,                0.99308,                0.88232,                0.66412,                0.71744,                0.44871,                 1.3978,                  1.687,                 1.5397,              0.0012536,              0.0012536,              0.0012536
                     64,                 0.9173,                 1.1208,                 1.0941,                0.88232,                0.66412,                0.71744,                0.44871,                 1.3978,                  1.687,                 1.5397,              0.0012507,              0.0012507,              0.0012507
                     65,                  1.146,                 1.1671,                 1.1832,                0.92239,                0.68811,                0.73352,                0.44422,                 1.4764,                 1.6019,                 1.5641,              0.0012479,              0.0012479,              0.0012479
                     66,                0.96348,                 1.0296,                  1.084,                0.92515,                0.72397,                0.78301,                0.46328,                 1.4887,                  1.605,                 1.5589,              0.0012451,              0.0012451,              0.0012451
                     67,                0.92521,                 1.0443,                 1.1033,                0.92515,                0.72397,                0.78301,                0.46328,                 1.4887,                  1.605,                 1.5589,              0.0012423,              0.0012423,              0.0012423
                     68,                0.85883,                0.91161,                 1.0162,                0.89654,                    0.7,                0.77031,                0.53706,                 1.4312,                 1.4907,                 1.5473,              0.0012394,              0.0012394,              0.0012394
                     69,                0.86598,                 1.0373,                 1.0549,                0.93291,                 0.6511,                0.76826,                0.53216,                  1.484,                 1.4409,                 1.5498,              0.0012366,              0.0012366,              0.0012366
                     70,                0.95664,                 1.0087,                 1.0231,                0.93291,                 0.6511,                0.76826,                0.53216,                  1.484,                 1.4409,                 1.5498,              0.0012338,              0.0012338,              0.0012338
                     71,                 1.3338,                 1.9749,                 1.3954,                0.88577,                0.71543,                0.76112,                0.52182,                 1.3993,                 1.3982,                 1.5702,              0.0012309,              0.0012309,              0.0012309
                     72,                  1.064,                 1.0772,                 1.0721,                0.90199,                0.72745,                0.75335,                0.51146,                 1.4354,                 1.5396,                 1.5667,              0.0012281,              0.0012281,              0.0012281
                     73,                 0.8911,                 1.0123,                 1.0126,                0.90199,                0.72745,                0.75335,                0.51146,                 1.4354,                 1.5396,                 1.5667,              0.0012253,              0.0012253,              0.0012253
                     74,                 1.5119,                 1.5334,                 1.4396,                0.84025,                0.73333,                0.70668,                0.48721,                 1.3483,                 1.5257,                 1.5052,              0.0012225,              0.0012225,              0.0012225
                     75,                0.91194,                 1.0047,                 1.0488,                0.84278,                0.67872,                0.69703,                0.47088,                 1.3693,                 1.6282,                 1.5911,              0.0012196,              0.0012196,              0.0012196
                     76,                0.95982,                 1.0194,                 1.0889,                0.84278,                0.67872,                0.69703,                0.47088,                 1.3693,                 1.6282,                 1.5911,              0.0012168,              0.0012168,              0.0012168
                     77,                 1.0375,                   1.05,                 1.1424,                0.78023,                0.63155,                0.76365,                0.46949,                 1.4187,                 1.7331,                  1.679,               0.001214,               0.001214,               0.001214
                     78,                0.88522,                0.94509,                 1.0225,                0.71184,                0.63435,                0.65914,                 0.4937,                 1.3402,                 1.5667,                 1.5451,              0.0012111,              0.0012111,              0.0012111
                     79,                0.90613,                 1.0243,                 1.0535,                0.71184,                0.63435,                0.65914,                 0.4937,                 1.3402,                 1.5667,                 1.5451,              0.0012083,              0.0012083,              0.0012083
                     80,                 0.8194,                0.89839,                 1.0404,                0.61046,                0.79554,                0.74299,                0.53629,                 1.3474,                 1.5105,                 1.5509,              0.0012055,              0.0012055,              0.0012055
                     81,                0.91219,                0.93385,                 1.0226,                 0.6285,                0.87478,                0.75158,                0.52228,                 1.4336,                   1.48,                 1.5942,              0.0012026,              0.0012026,              0.0012026
                     82,                0.70423,                0.84546,                 1.0189,                 0.6285,                0.87478,                0.75158,                0.52228,                 1.4336,                   1.48,                 1.5942,              0.0011998,              0.0011998,              0.0011998
                     83,                 0.8103,                 0.9326,                 1.0173,                0.81282,                0.62399,                0.73894,                0.52264,                 1.4415,                 1.4655,                 1.5353,               0.001197,               0.001197,               0.001197
                     84,                0.80887,                 1.0949,                 0.9796,                0.78374,                0.72727,                0.67814,                0.48628,                 1.4904,                 1.4709,                 1.5027,              0.0011942,              0.0011942,              0.0011942
                     85,                0.86116,                0.90907,                0.99557,                0.78374,                0.72727,                0.67814,                0.48628,                 1.4904,                 1.4709,                 1.5027,              0.0011913,              0.0011913,              0.0011913
                     86,                0.90463,                 1.2848,                 1.1188,                0.77687,                0.66667,                0.70152,                0.48291,                 1.4634,                 1.4478,                 1.4758,              0.0011885,              0.0011885,              0.0011885
                     87,                0.90976,                0.93006,                 1.0272,                0.81102,                    0.7,                0.72767,                0.49334,                 1.4088,                 1.5062,                 1.4998,              0.0011857,              0.0011857,              0.0011857
                     88,                 1.0335,                0.97109,                  1.214,                0.81102,                    0.7,                0.72767,                0.49334,                 1.4088,                 1.5062,                 1.4998,              0.0011828,              0.0011828,              0.0011828
                     89,                0.75606,                0.80242,                0.99234,                0.83835,                0.73333,                0.78562,                0.51605,                 1.3356,                 1.4238,                 1.4539,                0.00118,                0.00118,                0.00118
                     90,                 0.9356,                 1.0382,                  1.044,                0.94373,                    0.7,                0.79046,                0.51666,                 1.1877,                 1.3417,                 1.4487,              0.0011772,              0.0011772,              0.0011772
                     91,                 1.3607,                 1.9275,                 1.5665,                0.94373,                    0.7,                0.79046,                0.51666,                 1.1877,                 1.3417,                 1.4487,              0.0011744,              0.0011744,              0.0011744
