                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                 0.5838,                 2.0486,                0.61649,                0.43536,                0.95879,                0.99026,                      1,                  0.995,                0.80187,                0.99026,                      1,                  0.995,                0.63662,                0.89531,                 1.5615,                0.68101,                0.56319,                 1.3328,              0.0010941,              0.0010941,              0.0010941
                     34,                0.60588,                 2.7675,                0.61514,                0.45876,                 1.0463,                0.98705,                      1,                  0.995,                0.78633,                0.98705,                      1,                  0.995,                  0.684,                0.97191,                 1.8523,                 0.6855,                 0.6315,                 1.3655,              0.0011211,              0.0011211,              0.0011211
                     35,                 0.6705,                 2.5795,                0.59667,                0.52039,                 1.0841,                0.99304,                      1,                  0.995,                0.77523,                0.99304,                      1,                  0.995,                0.57776,                 1.0675,                 2.1773,                0.68201,                0.66181,                 1.4517,              0.0011477,              0.0011477,              0.0011477
                     36,                0.68557,                  2.557,                0.59995,                0.50613,                0.97582,                      1,                0.99447,                  0.995,                0.71578,                0.97961,                0.83333,                0.83811,                 0.4959,                 1.1571,                 2.2955,                0.68425,                0.72357,                 1.5527,               0.001174,               0.001174,               0.001174
                     37,                 0.7117,                 2.0913,                0.62936,                 0.5146,                 1.0423,                      1,                0.99447,                  0.995,                0.71578,                0.97961,                0.83333,                0.83811,                 0.4959,                 1.1571,                 2.2955,                0.68425,                0.72357,                 1.5527,              0.0011998,              0.0011998,              0.0011998
                     38,                0.60291,                 2.2434,                0.62006,                0.45212,                0.99574,                      1,                0.98974,                  0.995,                0.66584,                0.98677,                0.83333,                0.83829,                0.53488,                 1.3433,                 2.0138,                0.68537,                0.73333,                 1.7099,              0.0012253,              0.0012253,              0.0012253
                     39,                0.58369,                 1.5432,                0.59658,                0.47312,                 1.0148,                0.98646,                0.83333,                0.97214,                0.66424,                0.98646,                0.83333,                0.83871,                0.67431,                 1.2479,                 1.9415,                0.67818,                0.70876,                 1.6074,              0.0012503,              0.0012503,              0.0012503
                     40,                 0.5935,                  2.345,                0.62693,                0.47185,                0.96396,                0.98646,                0.83333,                0.97214,                0.66424,                0.98646,                0.83333,                0.83871,                0.67431,                 1.2479,                 1.9415,                0.67818,                0.70876,                 1.6074,               0.001275,               0.001275,               0.001275
                     41,                0.69317,                 2.6267,                0.61738,                0.50547,                0.98562,                0.98945,                0.83333,                  0.955,                0.62776,                0.98945,                0.83333,                0.83921,                0.66338,                 1.2351,                 2.0387,                 0.6752,                0.78905,                 1.5554,              0.0012992,              0.0012992,              0.0012992
                     42,                 0.6235,                 2.9361,                0.59627,                 0.4871,                0.94734,                      1,                0.83077,                  0.955,                0.72352,                      1,                0.83077,                  0.899,                0.71994,                 0.9118,                 1.8281,                0.67415,                0.66149,                 1.3751,              0.0013231,              0.0013231,              0.0013231
