                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    190,                0.38475,                 1.2788,                0.57479,                0.31719,                 0.9326,                0.99081,                      1,                  0.995,                0.82825,                0.83292,                0.83333,                0.84633,                0.71136,                 0.7938,                 1.2292,                 0.6658,                0.44192,                 1.4301,              0.0001289,              0.0001289,              0.0001289
                    191,                0.38377,                0.80258,                0.52029,                0.31262,                0.90006,                0.99067,                      1,                  0.995,                0.84461,                0.83304,                0.83333,                0.84574,                0.70492,                0.79631,                 1.2472,                 0.6671,                0.44668,                 1.4367,               0.000119,               0.000119,               0.000119
                    192,                 0.3485,                0.87772,                0.54247,                0.29168,                0.93508,                 0.9904,                      1,                  0.995,                0.84432,                 0.9904,                      1,                  0.995,                 0.7189,                0.80692,                  1.246,                0.66677,                0.46302,                 1.4412,              0.0001091,              0.0001091,              0.0001091
                    193,                0.36382,                0.77578,                0.53433,                0.30012,                0.90496,                 0.9904,                      1,                  0.995,                0.84432,                 0.9904,                      1,                  0.995,                 0.7189,                0.80692,                  1.246,                0.66677,                0.46302,                 1.4412,               9.92e-05,               9.92e-05,               9.92e-05
                    194,                0.38224,                0.79743,                0.54251,                0.33148,                0.92443,                0.99037,                      1,                  0.995,                0.82633,                0.83284,                0.83333,                0.84316,                0.68974,                0.82625,                 1.2606,                0.66666,                0.47093,                 1.4563,               8.93e-05,               8.93e-05,               8.93e-05
                    195,                0.30665,                0.62607,                0.53154,                0.26928,                0.87498,                0.99059,                      1,                  0.995,                 0.8261,                0.83262,                0.83333,                0.84229,                0.68865,                 0.8508,                 1.2751,                0.66644,                0.47004,                 1.4761,               7.94e-05,               7.94e-05,               7.94e-05
                    196,                0.31636,                0.73757,                0.53771,                0.29531,                0.88213,                0.99059,                      1,                  0.995,                 0.8261,                0.83262,                0.83333,                0.84229,                0.68865,                 0.8508,                 1.2751,                0.66644,                0.47004,                 1.4761,               6.95e-05,               6.95e-05,               6.95e-05
                    197,                0.30343,                0.66323,                0.52704,                0.27282,                0.88935,                0.99084,                      1,                  0.995,                0.80936,                 0.8325,                0.83333,                0.84203,                0.68834,                 0.8753,                 1.2767,                0.66607,                0.47363,                  1.495,               5.96e-05,               5.96e-05,               5.96e-05
                    198,                0.34584,                0.67892,                0.54342,                0.29629,                0.90564,                0.99108,                      1,                  0.995,                 0.7982,                0.83229,                0.83333,                0.84148,                0.68765,                0.89809,                 1.2907,                0.66599,                0.47507,                 1.5109,               4.97e-05,               4.97e-05,               4.97e-05
                    199,                0.29208,                0.69876,                0.55234,                0.26563,                0.89514,                0.99108,                      1,                  0.995,                 0.7982,                0.83229,                0.83333,                0.84148,                0.68765,                0.89809,                 1.2907,                0.66599,                0.47507,                 1.5109,               3.98e-05,               3.98e-05,               3.98e-05
                    200,                0.27037,                0.68414,                 0.5243,                0.25859,                0.88589,                0.99115,                      1,                  0.995,                0.79808,                0.83228,                0.83333,                  0.841,                0.68706,                0.91118,                 1.2965,                0.66426,                0.47968,                 1.5095,               2.99e-05,               2.99e-05,               2.99e-05
