                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                0.79024,                 1.0472,                 1.0673,                0.82798,                0.80658,                0.78572,                0.39949,                 1.5879,                 2.1505,                 2.0561,              0.0017268,              0.0017268,              0.0017268
                     71,                0.68052,                0.88899,                0.94711,                0.60365,                0.76691,                 0.6881,                0.38157,                 1.4162,                 1.9914,                  1.875,              0.0017228,              0.0017228,              0.0017228
                     72,                0.79057,                0.88266,                 1.0814,                0.72845,                    0.5,                 0.5997,                0.37359,                 1.3864,                 2.4719,                 1.7256,              0.0017188,              0.0017188,              0.0017188
                     73,                0.79809,                0.86134,                0.99053,                0.72845,                    0.5,                 0.5997,                0.37359,                 1.3864,                 2.4719,                 1.7256,              0.0017149,              0.0017149,              0.0017149
                     74,                0.83462,                0.92669,                0.95496,                0.65366,                0.63416,                0.60528,                0.26018,                 1.8427,                 2.6477,                 2.0135,              0.0017109,              0.0017109,              0.0017109
                     75,                0.69977,                0.89832,                0.98946,                      1,                0.48855,                0.74389,                0.33508,                 1.7731,                 2.3763,                 2.1078,               0.001707,               0.001707,               0.001707
                     76,                0.75185,                0.85737,                0.95115,                      1,                0.48855,                0.74389,                0.33508,                 1.7731,                 2.3763,                 2.1078,               0.001703,               0.001703,               0.001703
                     77,                0.75775,                0.88428,                 1.0761,                0.79686,                0.65619,                  0.741,                0.34462,                 1.6111,                 2.8922,                 2.0886,               0.001699,               0.001699,               0.001699
                     78,                0.60064,                0.73581,                 0.9606,                 0.5238,                0.66667,                0.63304,                0.30792,                 1.6381,                 3.3885,                 2.0092,              0.0016951,              0.0016951,              0.0016951
                     79,                0.95676,                 1.4045,                 1.3008,                 0.5238,                0.66667,                0.63304,                0.30792,                 1.6381,                 3.3885,                 2.0092,              0.0016911,              0.0016911,              0.0016911
                     80,                  0.657,                0.73182,                0.97135,                 0.6546,                0.66667,                0.74747,                0.33264,                 1.6121,                 2.8324,                 2.1401,              0.0016872,              0.0016872,              0.0016872
                     81,                0.68676,                0.81753,                 1.0133,                0.70385,                0.66667,                 0.7186,                  0.338,                 1.3138,                   3.63,                 1.7768,              0.0016832,              0.0016832,              0.0016832
                     82,                0.69563,                0.90248,                  1.017,                0.70385,                0.66667,                 0.7186,                  0.338,                 1.3138,                   3.63,                 1.7768,              0.0016792,              0.0016792,              0.0016792
                     83,                0.87349,                 1.0214,                 1.1746,                0.75087,                    0.5,                0.73087,                0.35692,                  1.444,                 3.6334,                 1.8938,              0.0016753,              0.0016753,              0.0016753
                     84,                0.64635,                0.80033,                 1.0158,                0.56254,                0.64593,                0.56527,                0.44929,                 1.3314,                 2.4436,                 1.8926,              0.0016713,              0.0016713,              0.0016713
                     85,                0.58622,                0.69819,                0.95696,                0.56254,                0.64593,                0.56527,                0.44929,                 1.3314,                 2.4436,                 1.8926,              0.0016674,              0.0016674,              0.0016674
                     86,                0.76089,                0.79506,                 1.1027,                0.55649,                0.66667,                0.53827,                0.34807,                 1.4565,                 2.1923,                 2.1475,              0.0016634,              0.0016634,              0.0016634
                     87,                0.85922,                0.80731,                 1.0955,                0.48796,                0.66667,                0.54442,                0.34146,                  1.854,                 2.1579,                 2.1284,              0.0016594,              0.0016594,              0.0016594
                     88,                0.67228,                0.73748,                 1.0386,                0.48796,                0.66667,                0.54442,                0.34146,                  1.854,                 2.1579,                 2.1284,              0.0016555,              0.0016555,              0.0016555
                     89,                0.67552,                0.76259,                0.98056,                0.27747,                0.66667,                0.35904,                0.21344,                 1.8914,                 2.2626,                 2.2406,              0.0016515,              0.0016515,              0.0016515
                     90,                0.80349,                0.74584,                0.99779,                0.26321,                    0.5,                0.26128,                0.14706,                 1.8363,                 2.3406,                 2.1269,              0.0016476,              0.0016476,              0.0016476
                     91,                0.56285,                0.73305,                0.91466,                0.26321,                    0.5,                0.26128,                0.14706,                 1.8363,                 2.3406,                 2.1269,              0.0016436,              0.0016436,              0.0016436
                     92,                0.80382,                0.84805,                 1.0207,                0.18693,                0.33333,                0.23501,                0.14841,                 1.9955,                 2.1597,                  2.105,              0.0016396,              0.0016396,              0.0016396
                     93,                0.83969,                0.76682,                0.95328,                0.25543,                0.33333,                0.27824,                0.18776,                 1.8818,                 2.0597,                 2.1875,              0.0016357,              0.0016357,              0.0016357
                     94,                0.66599,                0.72957,                 1.0123,                0.25543,                0.33333,                0.27824,                0.18776,                 1.8818,                 2.0597,                 2.1875,              0.0016317,              0.0016317,              0.0016317
                     95,                 0.7378,                0.77708,                 1.0102,                0.28029,                0.39391,                 0.2409,                  0.173,                 1.7473,                  1.986,                 2.1977,              0.0016278,              0.0016278,              0.0016278
                     96,                0.72373,                0.79928,                0.97806,                0.30145,                0.16667,                0.14185,                 0.0988,                 1.6614,                 2.3748,                 2.2031,              0.0016238,              0.0016238,              0.0016238
                     97,                0.81803,                 0.7254,                0.98333,                0.30145,                0.16667,                0.14185,                 0.0988,                 1.6614,                 2.3748,                 2.2031,              0.0016198,              0.0016198,              0.0016198
                     98,                0.72257,                0.68663,                0.94778,                0.26766,                0.16667,                0.14789,                0.08513,                 1.7784,                 2.5438,                 2.2588,              0.0016159,              0.0016159,              0.0016159
                     99,                0.68132,                0.74625,                 1.0206,                0.60048,                0.16667,                0.27033,                0.15826,                  1.767,                 2.4324,                 2.3065,              0.0016119,              0.0016119,              0.0016119
                    100,                0.66372,                  0.682,                 1.0282,                0.60048,                0.16667,                0.27033,                0.15826,                  1.767,                 2.4324,                 2.3065,               0.001608,               0.001608,               0.001608
                    101,                0.57751,                0.66946,                 1.0498,                0.57186,                    0.5,                0.48623,                0.29385,                 1.1518,                 2.0819,                 1.5527,               0.001604,               0.001604,               0.001604
                    102,                0.72531,                0.69659,                0.99079,                0.92185,                0.66667,                0.79566,                0.42197,                 1.1588,                 1.5704,                 1.4899,                 0.0016,                 0.0016,                 0.0016
                    103,                0.66287,                0.65832,                0.99556,                0.92185,                0.66667,                0.79566,                0.42197,                 1.1588,                 1.5704,                 1.4899,              0.0015961,              0.0015961,              0.0015961
                    104,                0.62545,                0.64672,                  1.003,                0.81477,                0.83333,                0.78019,                0.60629,                 1.1733,                 1.3666,                 1.4431,              0.0015921,              0.0015921,              0.0015921
                    105,                0.64612,                0.66642,                 1.0059,                0.66461,                0.66152,                0.66098,                0.48293,                 1.0956,                 1.6235,                 1.4154,              0.0015882,              0.0015882,              0.0015882
                    106,                0.75843,                 0.6336,                0.97803,                0.66461,                0.66152,                0.66098,                0.48293,                 1.0956,                 1.6235,                 1.4154,              0.0015842,              0.0015842,              0.0015842
                    107,                0.54785,                 0.6174,                0.93215,                0.69948,                    0.5,                0.57027,                0.42816,                0.93148,                 1.5998,                  1.421,              0.0015802,              0.0015802,              0.0015802
                    108,                0.54639,                0.55937,                0.87923,                0.70065,                 0.7856,                0.68929,                0.48149,                 1.0042,                 1.9226,                 1.4533,              0.0015763,              0.0015763,              0.0015763
                    109,                0.64338,                0.62257,                0.97707,                0.70065,                 0.7856,                0.68929,                0.48149,                 1.0042,                 1.9226,                 1.4533,              0.0015723,              0.0015723,              0.0015723
